"","SampleName","Reef","Site","Habitat","Pale","Group","Well","Temperature","T1_Fm","T2_PAR1","T2_PAR2","T2_PAR3","T2_PAR4","T2_PAR5","T2_PAR6","T2_PAR7","T2_PAR8","T2_PAR9","T2_PAR10","T2_PAR11","T2_PAR12","T2_PAR13","T2_PAR14","T2_PAR15","T2_ETR1","T2_ETR2","T2_ETR3","T2_ETR4","T2_ETR5","T2_ETR6","T2_ETR7","T2_ETR8","T2_ETR9","T2_ETR10","T2_ETR11","T2_ETR12","T2_ETR13","T2_ETR14","T2_ETR15","T2_QY_Lss1","T2_QY_Lss2","T2_QY_Lss3","T2_QY_Lss4","T2_QY_Lss5","T2_QY_Lss6","T2_QY_Lss7","T2_QY_Lss8","T2_QY_Lss9","T2_QY_Lss10","T2_QY_Lss11","T2_QY_Lss12","T2_QY_Lss13","T2_QY_Lss14","T2_QY_Lss15","T2_NPQ_Lss1","T2_NPQ_Lss2","T2_NPQ_Lss3","T2_NPQ_Lss4","T2_NPQ_Lss5","T2_NPQ_Lss6","T2_NPQ_Lss7","T2_NPQ_Lss8","T2_NPQ_Lss9","T2_NPQ_Lss10","T2_NPQ_Lss11","T2_NPQ_Lss12","T2_NPQ_Lss13","T2_NPQ_Lss14","T2_NPQ_Lss15","T3_Fv/Fm_Lss1","T3_Fm","T3_QY_max"
"773","RB F19","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",5,35.75,6813.97,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,11.4246,21.3043,28.1748,29.9017,32.7271,34.777,28.0566,41.7216,21.5258,29.8762,40.7234,29.3669,41.478,44.2086,26.1802,0.48,0.3,0.23,0.18,0.15,0.13,0.09,0.12,0.05,0.07,0.08,0.05,0.07,0.07,0.04,0.06,0.26,0.42,0.61,0.77,0.91,1.04,1.08,1.22,1.24,1.26,1.27,1.22,1.12,1.03,0.41,4914.67,0.41
"774","RB F19","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",6,37,6783.45,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,8.5638,8.9344,9.2127,7.554,5.1865,4.0637,-7.7607,-2.3254,-12.0837,1.5402,-7.9118,-11.9538,6.245,-0.5703,11.6196,0.36,0.12,0.08,0.04,0.02,0.02,-0.02,-0.01,-0.03,0,-0.02,-0.02,0.01,0,0.02,0.01,0.04,0.02,0.02,0.06,0.1,0.18,0.22,0.31,0.36,0.47,0.57,0.66,0.78,0.85,0.13,3667.9,0.13
"775","RB F20","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",1,24.5,6851.86,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,15.4359,43.9544,67.9824,87.7129,102.583,114.1955,124.4226,129.8555,140.2113,145.7869,146.6869,144.8579,145.2823,137.1978,145.3815,0.65,0.61,0.57,0.52,0.47,0.43,0.4,0.36,0.34,0.32,0.29,0.26,0.24,0.21,0.21,0.03,0.07,0.08,0.11,0.18,0.29,0.41,0.56,0.69,0.85,0.99,1.15,1.27,1.45,1.53,0.6,5301.52,0.61
"776","RB F20","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",2,29.5,7044.32,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.9417,41.184,63.7388,82.5204,99.0651,114.0024,125.0381,135.848,143.6482,153.1378,158.5451,155.0175,163.3984,158.0287,152.5053,0.63,0.57,0.53,0.49,0.46,0.43,0.4,0.38,0.35,0.33,0.31,0.28,0.27,0.24,0.22,0.04,0.09,0.11,0.16,0.23,0.33,0.45,0.56,0.68,0.79,0.91,1.05,1.17,1.32,1.45,0.59,5526.36,0.6
"777","RB F20","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",3,31.5,7238,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.8226,40.547,64.131,83.9508,103.5849,121.195,132.0619,146.0015,149.4096,166.06,167.377,167.8775,171.8123,163.562,157.2016,0.63,0.56,0.53,0.5,0.48,0.46,0.42,0.4,0.36,0.36,0.33,0.3,0.29,0.25,0.22,0.03,0.1,0.12,0.17,0.23,0.31,0.43,0.52,0.66,0.72,0.86,0.99,1.12,1.29,1.46,0.58,5335.93,0.59
"778","RB F20","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",4,34.5,7083.62,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.6651,39.3067,60.0948,75.1385,89.6057,101.5151,104.2311,117.6693,115.3432,122.478,123.0905,124.2963,122.6897,119.5683,115.6923,0.62,0.55,0.5,0.45,0.41,0.38,0.33,0.33,0.28,0.27,0.24,0.22,0.2,0.18,0.17,0.06,0.16,0.24,0.41,0.58,0.76,0.97,1.11,1.29,1.41,1.57,1.69,1.83,1.94,2.02,0.53,4686.06,0.54
"779","RB F20","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",5,35.75,9922.38,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.9935,33.3246,45.3144,51.1473,55.5925,57.6665,54.871,60.9027,54.7808,62.959,66.1127,51.9244,60.2275,50.5855,32.0624,0.59,0.46,0.38,0.3,0.26,0.22,0.18,0.17,0.13,0.14,0.13,0.09,0.1,0.08,0.05,0.07,0.29,0.57,0.87,1.13,1.36,1.55,1.65,1.78,1.82,1.86,1.94,1.89,1.82,1.7,0.47,6342.84,0.47
"780","RB F20","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",6,37,6383.07,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,12.0433,16.6876,18.0469,16.8621,19.9416,20.9539,16.2595,17.8302,12.9344,16.0702,18.1541,6.8443,17.1493,13.2574,13.7248,0.51,0.23,0.15,0.1,0.09,0.08,0.05,0.05,0.03,0.04,0.04,0.01,0.03,0.02,0.02,0.01,0.04,0.03,0.03,0.04,0.07,0.14,0.17,0.24,0.3,0.36,0.44,0.49,0.57,0.64,0.21,4013.85,0.21
"781","RB F21","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",1,24.5,5100.54,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,13.4528,39.0224,58.6296,75.1686,95.2916,106.979,111.8475,117.4443,117.6806,129.5654,139.4989,125.4791,128.6204,112.1715,120.1399,0.57,0.54,0.49,0.45,0.44,0.4,0.36,0.33,0.29,0.28,0.28,0.23,0.21,0.17,0.17,0.05,0.07,0.1,0.14,0.16,0.26,0.39,0.53,0.68,0.84,1.02,1.23,1.37,1.58,1.78,0.59,4958.85,0.59
"782","RB F21","Opal Reef","Rayban","Reef flat",FALSE,"Opal Rayban flat",2,29.5,6436.89,59.15,179.76,300.37,420.98,541.59,662.2,782.81,903.42,1024.03,1144.64,1265.25,1385.86,1506.47,1627.08,1747.69,14.2257,41.1433,60.6059,75.8236,93.9554,102.1461,104.5989,108.4432,110.0548,115.0893,130.1057,109.7636,113.3775,98.3259,105.423,0.6,0.57,0.5,0.45,0.43,0.39,0.33,0.3,0.27,0.25,0.26,0.2,0.19,0.15,0.15,0.06,0.06,0.11,0.17,0.23,0.38,0.57,0.74,0.9,1.11,1.27,1.5,1.63,1.82,1.99,0.62,5749.38,0.62
